CardCode;CardName
FOR000059;KALUNGA COM. E IND. GRAFICA LTDA
FOR000060;AUDIFAR COM. LTDA
FOR000061;FARKPEL INFORMATICA E PAPELARIA LTDA
FOR000062;APSEN FARMACEUTICA LTDA.
FOR000063;POLITEC IMPORTACAO E COMERCIO LTDA
FOR000064;MIX MEDICAL´S COM.LTDA
FOR000065;MAYKI COMERCIAL LTDA
FOR000066;PHARMACIA DROGAMERICA LTDA.
FOR000067;ORGANIZACAO RAUFARMA LTDA.
FOR000068;EMPREENDIMENTOS PAGUE MENOS S/A
FOR000069;IMPAKTO PROD.HIGIENE E LIMP.LTDA
FOR000070;NUTRII LIFFE
FOR000071;VIAMED PROD MED HOSP LTDA
FOR000072;MULTICCOPER COOP.DE TRABALHO
FOR000073;RIMED COM E REPRES LTDA
FOR000074;COOPSERV - SOC.COOP. DOS PROF DA AREA DA SAÚDE
FOR000075;PHYTON FORMULAS MAG E OFICINAIS LTDA
FOR000076;ONCOMED COM E IMPORT LTDA
FOR000077;C&K Suprimentos Escritorio Ltda.
FOR000078;HOSP PHARMA MANIPULACAO E SUPRIMENTO LTDA
FOR000079;T F Comercaial Farmaceutica Ltda
FOR000080;FORMULA MEDICINAL S N M LTDA
FOR000081;PRODUMED SER IND E COM LTDA
FOR000082;CHASE DO BRASIL ENTERPRISES LTDA.
FOR000083;ICARAI DO BRASIL IND E COM LTDA
FOR000084;ESSENCA PROD. MEDICOS E SERVIÇOS LTDA.
FOR000085;ESSENCA PROD MED SERV LTDA
FOR000086;O ALQUIMISTA FAR HOMEOPATICA LTDA
FOR000087;ARMARINHOS FERNANDO LTDA
FOR000088;COOPERATIVA DE TRABALHO
FOR000089;Profissionais de Saude
FOR000090;Bennamed Farmacêutica Ltda
FOR000091;ADV DO BRASIL LTDA
FOR000092;R RODRIGUES ME
FOR000093;SOSECAL IND
FOR000094;ORION COM. IND. LTDA
FOR000095;SCHERING-PLOUG FARMA
FOR000096;MEDICINA
FOR000097;HUMANA
FOR000098;ZAMBON
FOR000099;BRAIN FARMA
FOR000100;PRATI DONADUZZI
FOR000101;GERMED FARMACEUTICA LTDA
FOR000102;MIYUKI IND. E COM. DE COSMETICO LTDA
FOR000103;GALDERMA
FOR000104;SANEATIVO LABORATORIO FARCEUTICO LTDA
FOR000105;NIPRO MEDICAL LTDA
FOR000106;EXTRACTUM FARMACIA DE MANIPULAÇAO LTDA
FOR000107;SIGMA PHARMA
FOR000108;LABOR IMPORT COM EXP LTDA
FOR000109;LABOR JET
FOR000110;DESCARPACK DESCART. DO BRASIL LTDA
FOR000111;COMPOJET BIOMÉDICA LTDA
FOR000112;ADVANCED PRODCTS IND. E COMERCIO LTDA
FOR000113;ADVANCED PRODUCTS IND. E COMERCIO LTDA
FOR000114;SUPPORT
FOR000115;AMÉRICA MEDICAL LTDA
FOR000116;AMERICA MEDIC. LTDA
FOR000117;MEDCARE EQUI.BIOM. LTDA
FOR000118;BOSTON SCIENTIFIC DO BRASIL LTDA
FOR000119;LUD LTDA
FOR000120;HALEXISTAR
FOR000121;AMBER COMERCIAL LTDA - IMPORTADOR
FOR000122;SETE CENTRAL DE ESTERILIZAÇÃO
FOR000123;EQUIPLEX
FOR000124;ARTMEDIC INDUSTRIA E COMERCIO LTDA
FOR000125;NUTRIC NUTRICIONAL COMÉRCIO LTDA
FOR000126;WG HOSPITALAR LTDA
FOR000127;KIMBERLY CLARK
FOR000128;ACE INDUSTRIA E COMERCIO LTDA
FOR000129;NEONUTRI SUPLEMENTOS NUTRICIONAIS LTDA
FOR000130;CLARIS
FOR000131;NATULAB LABORATÓRIO LTDA
FOR000132;SKY INDÚSTRIA E COMÉRCIO DE PRODUTOS DESCARTÁVEIS LTDA. - ME
FOR000133;PHARMALAB INDUSTRIA FARCEUTICO S.A
FOR000134;PHARLAB INDUSTRIA FARMACÊUTICA S.A
FOR000135;GRIFOLS
FOR000136;PHARMACIA BIOETHICA LTDA
FOR000137;VOLK DO BRASIL
FOR000138;PRODUTOS OFICINAIS AVANTE LTDA
FOR000139;BIOTRADE PRODUTOS PARA LABORATORIOS LTDA
FOR000140;COLOPLAST DO BRASIL LTDA
FOR000141;FRADEL MED. IND.COM.APAR.MED.LTDA
FOR000142;HYPERMARCAS S/A
FOR000143;PSH - PROD. E SERVIÇOS HOSPITALARES LTDA
FOR000144;ALLIMED COM.MAT.MED LTDA
FOR000145;IMMUNOASSAY IND.  COM. S/A
FOR000146;DUPLEX EMBALAGENS ESPECIAIS LTDA
FOR000147;AP LIMA PRODUTOS HOSPITALARES ME
FOR000148;GEOLAB INDU. FARMACEUTICA LTDA
FOR000149;ORGANON
FOR000150;MEDSTAR IMPORT. E EXPORT. LTDA
FOR000151;LUMIAR BAHIA LTDA
FOR000152;TECMAYER IMPORT.E DISTRIB.PRODU.LTDA
FOR000153;MB INDUSTRIA CIRÚRGICA LTDA
FOR000154;BIONAL
FOR000155;MEDICAL BRASIL
FOR000156;JOAO MED ADVANTIVE
FOR000157;DR.REDDY´S FARMC.DO BRASIL LTDA
FOR000158;VIDFARMA IND. DE MEDICAMENTOS LTDA
FOR000159;TECMÉDICA HOSPITALAR LTDA
FOR000160;MED GOLDMAN INDÚSTRIA E COMERCIO LTDA
FOR000161;MED GOLDMAN INDÚST. E COMERC. LTDA
FOR000162;FLEXMED IND.E COM.DE MOVEIS HOSPITALARES LTDA.
FOR000163;SUPERMAX BRASIL IMPORT. S.A.
FOR000164;A.C.P ROSADO-ME
FOR000165;AB FARMO QUIMICA
FOR000166;NUTRIMASTER COMERCIO DE PROD. NUT. LTDA
FOR000167;EXEMPLA INDUSTRIA E COMERCIO LTDA EPP
FOR000168;VITAL PROCIFAR PROD.MED HOSP LTDA
FOR000169;SELENALVA DE JESUS BOMFIM
FOR000170;LUNDBERCK BRASIL
FOR000171;INDAIA LAB.FARM LTDA
FOR000172;MARIOL INDUST.LTDA
FOR000173;ZILAR COM E LTDA
FOR000174;BAGÓ LTDA
FOR000175;MANGARÁ COM. E IMPO.PROD.HOSP.LTDA
FOR000176;EVOLABIS PRODUTOS FARMACÊUTICOS LTDA
FOR000177;LEGRAND FARMA INDUSTRIA FARMACEUTICA LTDA
FOR000178;MEDSONDA IND.COM.PROD HOSP. LTDA
FOR000179;DBS
FOR000180;ACTELION PHARMACEUTICALS DO BRASIL LTDA
FOR000181;SKL PHARMA
FOR000182;ANTIBIOTICOS DO BRASIL LTDA
FOR000183;ANTIBIOTICOS DO BRASIL LTDA
FOR000184;POLEN
FOR000185;POLENFARMACIA DE MANIPULAÇÃO
FOR000186;OFFICINALES
FOR000187;ACCUMED-PROD. MÉDICOS HOSPITALARES LTDA
FOR000188;PROTEC EXPORT IND.COM.IMP.EXP. DE EQUIP.MÉD HOSP.LTDA
FOR000189;EURO MED IND. E COM. LTDA
FOR000190;ISOCHEM DO BRASIL AGROQUIMICA LTDA
FOR000191;HOSPIRA PRODUTOS HOSPITALARES LTDA
FOR000192;HL DISTRIBUIDORA LTDA
FOR000193;SOBRAL
FOR000194;FARMACE
FOR000195;GRANDESC MATERIAIS HOSPITALARES LTDA
FOR000196;INTENDIS DO BRASIL FARCEUTICA LTDA
FOR000197;POLAR MEDICAL IND.COM.DE PROD.HOSP.LTDA
FOR000198;TKL -LIMP E EXP. PRODUTOS MEDICO E HOSP.LTDA
FOR000199;VIDA FORTE IND. E COM. DE PRODUTOS NATURAIS LTDA
FOR000200;STERILCLEAN ESTER.MAT.MED E HOSP LTDA
FOR000201;ENDOMED
FOR000202;BEAUFOUR IPSEN FARMACEUTICA LTDA
FOR000203;ASTELLAS FARMA BRASIL IMP. E DISTRIB. LTDA
FOR000204;SHERING-PLOUGH PRODUTOS FARM. LTDA
FOR000205;LAMPORT COM.HOSP LTDA
FOR000206;UNIÃO FARMA DISTRIBUIDORA FARMACEUTICA LTDA
FOR000207;IMPACTO PRODUTOS MÉDICOS E HOPITALARES LTDA
FOR000208;SILMAG BRASIL PRODUTOS MEDICOS LTDA
FOR000209;KOP IND.FARM LTDA
FOR000210;HEBRON
FOR000211;MSA COMERCIO DE PROD. MED. HOSP. LTDA
FOR000212;PROGRESSO LOGISTICA E DISTRIBUIDORA LTDA
FOR000213;BMD COMERCIO DE PROD. MÉDICOS LTDA
FOR000214;ESTERELIZE COMPLEXO SERV.ESTERE.LTDA
FOR000215;CURAMED COMER. DE MATERIAL MEDI.LTDA
FOR000216;FARA MEDICO LTDA
FOR000217;INDS. E COMER. DE MATERILA HOPS. LTDA
FOR000218;QUALIBELIS DO BRASIL
FOR000219;HOSPMED COME. DE MAT.MÉDICO HOSP.LTDA
FOR000220;PROCIFAR COM.PROD.CIR.E FARM.LTDA
FOR000221;MUCAMBO S.A.
FOR000222;NOTIP COMERCIO E REPRESENTAÇÕES LTDA
FOR000223;ATENCAO DOMICILIAR
FOR000224;BIOBRAS
FOR000225;HYPOFARMA
FOR000226;BELFAR LTDA
FOR000227;BECTON DICKINSON IND. CIRÚRGICAS LTDA
FOR000228;BECTON DICKISON IND.CIR.LTDA
FOR000229;BD ULTRA-FINE
FOR000230;BD PLASTIPAK
FOR000231;SANOBIOL
FOR000232;FARMAX
FOR000233;WHITE MARTINS GASES INDUS. DO NORD. S.A
FOR000234;BAUSCH & LOMB
FOR000235;BAUSCH & LOMB
FOR000236;LABORATORIO LAHAS LTDA
FOR000237;FARMACOPA
FOR000238;NEO QUIMICA
FOR000239;IMP. E DISTR. POR
FOR000240;ROCHE DIAGNÓSTICA BRASIL LTDA
FOR000241;ZAMMI INSTRUMENTAL LTDA
FOR000242;NATURALIS
FOR000243;LABORATORIOS BBRAUN S/A
FOR000244;B.BRAUN  LABORATORIOS S.A.
FOR000245;IND.FRONTINENSE LATEX S/A
FOR000246;FARMÁCIA MORIMOTO LTDA
FOR000247;CORAMED COM. DE ARTI. MÉDICOS LTDA
FOR000248;SILVESTRE
FOR000249;SILVESTRE LABS QUIMICA & FARMACEUTICA LTDA
FOR000250;LABORATORIO DAUDT OLIVEIRA LTDA
FOR000251;BARRENNE
FOR000252;DARROW
FOR000253;SCHERING-PLOUGH
FOR000254;MANTECORP INDUSTRIA FARMACEUTICA LTDA
FOR000255;MERCK S.A.
FOR000256;TORRENT
FOR000257;WILSON COOK MEDICAL/ E. TAMUSSINO & CIA LTDA
FOR000258;GRANADO
FOR000259;GROSS
FOR000260;ARROW FARMACEUTICA S.A.
FOR000261;EROWLABS FARMACEUTICA
FOR000262;GLAXO SMITHKLINE
FOR000263;BIOCHIMICO
FOR000264;PROCOSA
FOR000265;FARMOQUIMICA S/A
FOR000266;MILLET
FOR000267;NIKKHO
FOR000268;WHITE MARTINS GASES INDUSTRIAIS LTDA
FOR000269;VIC PHARMA INDUSTRIA E CERME.LTDA
FOR000270;NOGUEIRA ANDRADE COMER. DE MEDICA. LTDA
FOR000271;FDC
FOR000272;RAVA IND  COM LTDA
FOR000273;SERVIER
FOR000274;DIFFUCAP-CHEMOBRAS
FOR000275;ALLERGAN PRODUTOS FARMACÊUTICOS LTDA
FOR000276;CPL PRODUTOS MEDICOS LTDA
FOR000277;CPL MEDICALS PRODUTOS MEDICOS LTDA
FOR000278;BADEIA COMERCIO E IMPORTAC. LTDA
FOR000279;BCI MEDICAL
FOR000280;MIYAKO DO BRASIL IND. E COM. LTDA
FOR000281;ELI LILLY
FOR000282;GLENMARK FRAMACÊUTICA LTDA
FOR000283;GLICOLABOR IND. FARMACÊUTICA LTDA
FOR000284;SEGMENTA
FOR000285;3M
FOR000286;MERCK SHARP & DOHME
FOR000287;ELIBEL
FOR000288;PFIZER
FOR000289;LAMEDID COMER. E SERVIÇOS LTDA
FOR000290;BUNKER INDUSTRIA FARMACEUTICA LTDA
FOR000291;BACE COM.INTERN.LTDA
FOR000292;BACE HEALTHCARE
FOR000293;STERI-PACKS: DIPROMED COMERCIO E IMPORTAÇAO LTDA.
FOR000294;UCI-FARMA
FOR000295;CRAL  ART.LAB LTDA
FOR000296;CRAL ARTIGOS P/ LAB. LTDA.
FOR000297;FRESENIUS KABI BRASIL LTDA
FOR000298;OXIGEL MATERIAS HOS.E COM LTDA
FOR000299;BIOLAB
FOR000300;EMBRAMAC BRASIL LTDA
FOR000301;HIDROALL DO BRASIL
FOR000302;NEVE IND. E COM. PROD. CIRURGICOS LTDA
FOR000303;RIOQUIMICA
FOR000304;JP
FOR000305;ZODIAC
FOR000306;SCHERING DO BRASIL
FOR000307;NOVARTIS
FOR000308;ABBOTT LABORATORIOS DO BRASIL LTDA
FOR000309;LM FARMA IND.E COMERC. LTDA
FOR000310;NATURAL MASTER
FOR000311;NOVA QUIMICA FARMACÊUTICA
FOR000312;BLAUSIEGEL
FOR000313;INJEX INDÚSTRIAS CIRÚRGICAS LTDA
FOR000314;PROCTER & GAMBLE DO BDRASIL S/A
FOR000315;JOHNSONS
FOR000316;LATINOFARMA
FOR000317;ASTRAZENECA DO BRASIL LTDA
FOR000318;ALTANA
FOR000319;NYCOMED PHARMA LTDA
FOR000320;NESTLE BRASIL
FOR000321;ALCON LABORATORIOS DO BRASIL
FOR000322;SOLVAY FARMA
FOR000323;RICHTER LTDA - EPP
FOR000324;YAKULT S.A.
FOR000325;MARJAN FARMA
FOR000326;BOEHRINGER INGELHEIM
FOR000327;SANKYO
FOR000328;CNA COMPANHIA NACIONAL DE ALCOOL
FOR000329;SANVAL COMERCIO E INDUSTRIA LTDA
FOR000330;WYETH
FOR000331;LABORATÓRIO CLIMAX SA
FOR000332;BALDACCI
FOR000333;FARMASA
FOR000334;VALEANT FARCÊUTICA DO BRASIL LTDA
FOR000335;LABORATORIO QUIMICO FARMACEUTICO BERGAMO LTDA
FOR000336;HEXAL
FOR000337;LUPER IND. FARM.
FOR000338;ARISTON INDUSTRIAS QUIMICAS E FARMACEUTICAS LTDA
FOR000339;THERASKIN
FOR000340;NS
FOR000341;AVENTIS BEHRING
FOR000342;STIEFEL
FOR000343;ACCORD FARMACÊUTICA LTDA
FOR000344;MEIZLER COMERCIO
FOR000345;MEDCORP HOSPITALAR LTDA
FOR000346;PROCTER & GAMBLE
FOR000347;DM IND. FARMAC.
FOR000348;J.G. MORIYA REPRESENT. IMPOR. EXPOR. COMER. LTDA
FOR000349;CINORD SUL IND.COM LTDA
FOR000350;ROBERG ALIMENTOS MEDICAMENTOS LTDA
FOR000351;UNITED MEDICAL LTDA
FOR000352;NUTERAL IND.DE FORMUL. NUTRICIONAIS LTDA
FOR000353;DIVINA - SUNDOWN
FOR000354;SANRO
FOR000355;PHARMACIA BRASIL LTDA
FOR000356;RATIOPHARM
FOR000357;RATIOPHARM
FOR000358;MSO MATERIAL HOSPITAR LTDA
FOR000359;RANBAXY
FOR000360;LABORATORIO FERRING LTDA
FOR000361;KDL DO BRASIL COM.PROD.MED HOSP.LTDA
FOR000362;BIOSANI
FOR000363;STILO ARTEFATO
FOR000364;J.PROLAB IND.COM.LTDA
FOR000365;NOVO NORDISK
FOR000366;CREMER S/A
FOR000367;CATARINENSE
FOR000368;ROBERTO JCM SILVA JR
FOR000369;PLANITRADE  ASSESSORIO COM. E REPRE. LTDA
FOR000370;LABORATÓRIO LIBRA
FOR000371;Teste cadastro
FOR000372;DELBONI LABORATORIO LTDA
FOR000373;2,81E+12
FOR000374;A Casa Humana Medicina Clinica e Preventiva Ltda
FOR000375;CASA DO PACIENTE FARMÁCIA LTDA EPP
FOR000376;SERVIMED COMERCIAL LTDA
FOR000377;CIRURGICA MAFRA HOSPITALAR
FOR000378;MEDIHOUSE
FOR000379;HARTMANN
FOR000380;ACTIVE IND DE COSMETICOS
FOR000381;MEDIX
FOR000382;KOLPLAST
FOR000383;PROLINK
FOR000384;C M HOSPITALAR
FOR000385;FLEX INDUSTRIA E COMERCIO DE PAPEIS
FOR000386;CIRURGICA MAFRA
FOR000387;ECOGEN LABORATORIES
FOR000388;SERVIMED COMERCIAL LTDA
FOR000389;EXPRESSA DISTRIBUIDORA
FOR000390;LUPLATEX
FOR000391;TAYLOR
FOR000392;RUSCH
FOR000393;VICSA
FOR000394;FENIX
FOR000395;PREMIUM
FOR000396;EMPORIO SAUDE
FOR000397;Drogaria vila re
FOR000398;Servimed
FOR000399;KCL
FOR000400;DROGARIA VILA RE LTDA
FOR000401;AMAZON SERVICOS DE VAREJO DO BRASIL LTDA
FOR000402;WIN COMERCIO DE ENXOVAIS E UTILIDADES EIRELI-ME
FOR000403;FAVA METALURGICA
FOR000404;Dupatri Hospitalar
FOR000405;Pronep home care
FOR000406;SANTA CELINA HC
FOR000407;CIRURGICAL PRIME
FOR000408;BLAU FARMACÊUTICA
FOR000409;UG GLOBAL
FOR000410;UTILIDADES CLINICAS
FOR000411;Kolplast
FOR000412;Flexicotton
FOR000413;Status Saude Home Care
FOR000414;DESCARBOX ECOLOGIC
FOR000415;DROGARIA NOSSA SAUDE LTDA
FOR000416;SALUTEM COMERCIO DE MOVEIS HOSPITALARES
FOR000417;CIRURGICA LUCENA
FOR000418;DUPATRI HOSPITALAR
FOR000419;TAKEDA PHARMA
FOR000420;BENDITO MARTINS DE PAULA EMBALAGENS PLASTICAS
FOR000421;BELEM FARMACIA DE MANIPULAÇÃO
FOR000422;LKP PRODUTOS PARA DIAGNOSTICO
FOR000423;FLEURY S/A
FOR000424;CBS MEDICO CIENTIFICA
FOR000425;HOME VIDA SAUDE COMERCIO E LOCAÇÃO DE EQUIPAMENTOS MEDICOS E HOSPITALARES LTDA
FOR000426;OLTRAMED COMERCIO DE PRODUTOS MEDICOS
FOR000427;NEW CARE COM. DE MATERIAIS CIRURGICOS
FOR000428;SUPERMED COMERCIAL
FOR000429;MASTER COR LTDA
FOR000430;GRUPO ULTRAMOBI DIAGNOSTICOS LTDA
FOR000431;E NUTRE MARKETPLACE DE NUTRIÇÃO
FOR000432;SUPERMED HOSPITALAR
FOR000433;CIRURGICA MAFRA
FOR000434;PRO-FORMULA QUIMIOTERAPICA LTDA
FOR000435;DROGARAIA
FOR000436;ZANCHETTA E OLIVEIRA SERVIÇOS MEDICOS LTDA
FOR000437;KEEPCARE EQUIPAMENTOS E PRODUTOS MÉDICOS LTDA
FOR000438;WAKNIN SERVIÇOS MEDICOS LTDA
FOR000439;JULIA BOSSELMANN RULLI ME (Itau Conta:15575-2 Agencia:4285)
FOR000440;CLAUDIA INHAIA SERVICOS MEDICOS
FOR000441;CIRURGICA MAFRA
FOR000442;NOVA ERA COM E SERV DE EQUIP HOSP LTDA - EPP
FOR000443;HEALTH TECH FARMACIA DE MANIPULAÇÃO
FOR000444;NOVA MED TEC LTDA
FOR000445;EXPRESS MEDICAL
FOR000446;MIXSANTE HOSPITALAR EPP
FOR000447;MEDFLEX HOSPITALARES
FOR000448;MEDICAMENTAL
FOR000449;BIOFAC REPRESETAÇÃO
FOR000450;FARMACIA BUENOS AIRES
FOR000451;MJP DESCARTAVEIS
FOR000452;Saldanha Rodrigues Ltda
FOR000453;Essity do Brasil Ind & Com. Ltda
FOR000454;RAIA DROGASIL S/A
FOR000455;UNIÃO QUIMICA FARMACÊUTICA NACIONAL S/A
FOR000456;M2S COMÉRCIO DE PRODUTOS MÉDICOS
FOR000457;ASSISTCARE SERVIÇOS DE SAUDE LTDA S.A
FOR000458;Drogaria São Paulo S/A
FOR000459;UCB BIOPHARMA LTDA
FOR000460;FIRST IMPORT COMÉRCIO INTERNACIONAL LTDA
FOR000461;Robisa Ind. e Comércio Material Hospitalar Ltda
FOR000462;Farmarin Indústria e Comércio Ltda
FOR000463;CIRURGICA SÃO PAULO LTDA
FOR000464;SOL MILLENNIUM BRASIL IMP EXP LTDA
FOR000465;Sr care Assistência Domiciliar Ltda
FOR000466;GRUPO IDEAL CARE
FOR000467;TK PRODUTOS M H T IDADE LTDA
FOR000468;BIOBASE IND E COM LTDA
FOR000469;NOVA MED TEC LTDA
FOR000470;AMP PRODUTOS TERAPÊUTICOS LTDA
FOR000471;EQUIPE AR DE ASSISTENCIA SINGULAR EM SAUDE LTDA
FOR000472;MARCELO URSINI DE CARVALHO
FOR000473;ISABEL CRISTINA CARDOSO
FOR000474;FERNANDA PEREIRA GUIRRA BARBOSA
FOR000475;DEBORA CRISTINA GENEZINI COSTA - SERVIÇOS - ME
FOR000476;FISIOREPORT FISIOTERAPIA LTDA
FOR000477;NOLAR ODONTOLOGIA LTDA
PAC000022;Edith Beatriz Sachs
PAC000023;Jose Armando Motta Ribas
PAC000024;Maria Sarah Dupre Oliveira
PAC000025;Paulo Adolfo Dietziker
PAC000026;Edegard Gnipper Filho
PAC000027;Zoe Silveira D Avila
PAC000029;Maria Luzimar Barbosa Silva
PAC000030;Antonio Carlos Napoleone
PAC000031;Evandro Lachi
PAC000032;Julio Capobianco
PAC000057;Maria Antonia Del Nery
PAC000058;Regina Pacheco Americano
PAC000059;Haydee Arantes Lagrotti
PAC000060;Sebastiao Pereira Filho
PAC000061;Alberto Antonio Zvirblis
PAC000062;Celia Malhado Azevedo
PAC000063;Elza Aparecida Budim Torra
PAC000064;Cleuza Campagna Motta Ribas
PAC000065;Maria Alaide Ribeiro Da Silva
PAC000066;Francisco Verissimo Joanini
PAC000067;Itamar Henrique de Souza Missio
PAC000068;Jose Antonio Liberato
