CardCode	CardName	CardType	GroupCode	Phone1	Phone2	EmailAddress	CardForeignName
FOR0018	DUPATRI HOSPITALAR COMERCIO, IMPORTACAO E EXPORTACAO LTDA.	S	101	3328-8700	13	contabilidade1@dupatri.com	DUPATRI HOSPITALAR COMERCIO IMPORTACAO EXPORTACAO LTDA
FOR0019	FARMATER MEDICAMENTOS LTDA	S	101	3224-2465	31	faturamento@farmater.com.br 	FARMATER
FOR0020	FASTMED COMERCIO LTDA EPP	S	101	3238-0901	27	fastmed@fastmed.com.br	FASTMED 
FOR0021	GHOSTMED COMÉRCIO DE EQUIPAMENTOS HOSPITALARES LTDA	S	101	3329-5423	27	ghostmed@ghostmed.com.br	GHOSTMED
FOR0022	ATIVA MEDICO CIRURGICA EIRELI	S	101	2101-1556	32	LICITACAO@ATIVAHOSPITALAR.COM.BR	ATIVA MEDICO CIRURGICA
FOR0023	GLOBAL HOSPITALAR IMPORTAÇÃO E COMERCIO	S	101	3515-2000	31	FINANCEIRO2@GLOBALHOSPITALAR.COM.BR	GLOBAL HOSPITALAR
FOR0024	ELFA MEDICAMENTOS S.A.	S	101	2106-2433	83	FISCAL.MEDICAMENTOS@GRUPOELFA.COM.BR	ELFA MEDICAMENTOS
FOR0025	HALEX ISTAR INDUSTRIA FARMACEUTICA SA	S	101	3265-6500	62	FISCAL@HALEXISTAR.COM.BR	HALEX ISTAR INDUSTRIA FARMACEUTICA
FOR0026	HDL LOGISTICA HOSPITALAR LTDA	S	101	3221-5300	34	TELMO@HDLHOSPITALAR.COM.BR	HDL LOGISTICA HOSPITALAR
FOR0027	HOSPDROGAS COMERCIAL LTDA - EPP	S	101	4012-1103	62	GENIVAN@EQUIPLEX.COM.BR	FARMAPLEX
FOR0028	INJEX INDUSTRIAS CIRURGICAS LTDA	S	101	3302-2900	14	PAULA.REGINA@INJEX.COM.BR	INJEX INDUSTRIAS CIRURGICAS
FOR0029	J R G DISTRIBUIDORA DE MEDICAMENTOS HOSPITALARES LTDA	S	101	3324-1878	27	FINANCEIRO@JRGDISTRIBUIDORA.COM.BR	J R G DISTRIBUIDORA DE MEDICAMENTOS 
FOR0030	MEDILAR IMPORTACAO E DISTRIBUICAO DE PRODUTOS MEDICO HOSPITALARES S/A	S	101	3718-7600	51	RTRINDADE@MEDLIVE.COM.BR	MEDLIVE
FOR0031	MEGA MEDIC COMERCIAL EIRELI	S	101	6494-9539	21		MEGA MEDIC
FOR0032	MULTIFARMA COMERCIAL LTDA	S	101	2522-8170	31	LEANDRO@MULTIFARMA.NET.BR	MULTIFARMA COMERCIAL
FOR0033	NOXTER DO BRASIL LTDA	S	101	2916-0343	11		NOXTER PHARMA DO BRASIL
FOR0034	ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA	S	101	2185-8185	11	CARLOS.PAULO@GRUPOSC.COM.BR	ONCO PROD DISTR
FOR0035	ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA	S	101	5053-5616	11	FISCAL@ONCOPROD.COM.BR	ONCO PROD DISTR
FOR0036	ONCO PROD DISTRIBUIDORA DE PRODUTOS HOSPITALARES E ONCOLOGICOS LTDA	S	101	3040-7500	11	CARLOS.PAULO@GRUPOSC.COM.BR	ONCO PROD DISTR
FOR0037	PANPHARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA	S	101	3040-7500	11	CARLOS.PAULO@GRUPOSC.COM.BR	PANPHARMA
FOR0038	PONTAMED FARMACEUTICA LTDA	S	101	2101-5151	42	ELIETE@PRAMIO.COM.BR	PONTAMED
FOR0039	URGENCIA HOSPITAL CRUZ DISTRIBUIDORA DE MEDICAMENTOS E MATERIAL CIRURGICO E SANEANTES LTDA	S	101	2594-9849	21	SERVICOS@CONSULTORIASAF.COM.BR	URGENCIA HOSPITALAR
