Code	Name	CashAccount	BudgetAccount	ActiveAccount	FatherAccountKey	ExternalCode	AccountType	ForeignName	Details	ProjectCode	LockManualTransaction														
2.03.02.02.01	Lucros Acumulados	tNO		tYES	2.03.02.01		at_Other																		
2.03.03	PREJUÍZOS ACUMULADOS	tNO		tNO	2.03		at_Other																		
2.03.03.01	PREJUÍZOS ACUMULADOS	tNO		tNO	2.03.03		at_Other																		
2.03.03.01.01	Prejuízos Acumulados	tNO		tYES	2.03.03.01		at_Other																		
2.03.04	RESULTADO DO EXERCICIO	tNO		tNO	2.03		at_Other																		
2.03.04.01	RESULTADO DO EXERCICIO	tNO		tNO	2.03.04		at_Other																		
2.03.04.01.01	Lucro do Exercicio	tNO		tYES	2.03.04.01		at_Other																		
2.03.04.01.02	Prejuizo do Exercicio	tNO		tYES	2.03.04.01		at_Other																		
3.01	RECEITA OPERACIONAL LÍQUIDA	tNO		tNO	300000000000000		at_Other																		
3.01.01	RECEITA OPERACIONAL BRUTA	tNO		tNO	3.01		at_Other																		
3.01.01.01	PRODUÇÃO	tNO		tNO	3.01.01		at_Other																		
3.01.01.01.01	Sulamerica	tNO		tYES	3.01.01.01		at_Revenues																		
3.01.01.02	RECEITA	tNO		tNO	3.01.01		at_Other																		
3.01.01.02.01	Particular	tNO		tYES	3.01.01.02		at_Revenues																		
3.01.01.02.02	Sulamerica	tNO		tYES	3.01.01.02		at_Revenues																		
3.01.01.02.03	Omint	tNO		tYES	3.01.01.02		at_Revenues																		
3.01.01.02.04	Plataforma Digital	tNO		tYES	3.01.01.02		at_Revenues																		
3.01.02	(-) DEDUÇÕES DA RECEITA BRUTA	tNO		tNO	3.01		at_Other																		
3.01.02.01	(-) DEDUÇÕES DE VENDAS E ABATIMENTOS	tNO		tNO	3.01.02		at_Other																		
3.01.02.01.01	Serviços não aprovados	tNO		tYES	3.01.02.01		at_Expenses																		
3.01.02.01.02	Abatimentos Concedidos	tNO		tYES	3.01.02.01		at_Expenses																		
3.01.02.02	(-) TRIBUTOS SOBRE VENDAS/ SERVIÇOS	tNO		tNO	3.01.02		at_Other																		
3.01.02.02.01	PIS sobre Vendas e Serviços	tNO		tYES	3.01.02.02		at_Expenses																		
3.01.02.02.02	COFINS sobre Vendas e Serviços	tNO		tYES	3.01.02.02		at_Expenses																		
3.01.02.02.03	ISS sobre Serviços	tNO		tYES	3.01.02.02		at_Expenses																		
3.01.02.02.04	Carga tributária da Produção	tNO		tYES	3.01.02.02		at_Expenses																		
4.01	CUSTOS	tNO		tNO	400000000000000		at_Other																		
4.01.01	CUSTOS DOS SERVIÇOS	tNO		tNO	4.01		at_Other																		
4.01.01.01	CUSTOS COM PROFISSIONAIS	tNO		tNO	4.01.01		at_Other																		
4.01.01.01.01	Enfermeiros	tNO		tYES	4.01.01.01		at_Expenses																		
4.01.01.01.02	Equipe Multidisciplinar	tNO		tYES	4.01.01.01		at_Expenses																		
4.01.01.01.03	Médicos	tNO		tYES	4.01.01.01		at_Expenses																		
4.01.01.01.04	Técnicos de enfermagem	tNO		tYES	4.01.01.01		at_Expenses																		
4.01.01.01.05	Transporte Assistencial	tNO		tYES	4.01.01.01		at_Expenses																		
4.01.01.01.06	Tributos sobre folha	tNO		tYES	4.01.01.01		at_Expenses																		
4.01.01.02	CUSTOS GERAIS	tNO		tNO	4.01.01		at_Other																		
4.01.01.02.01	Dietas	tNO		tYES	4.01.01.02		at_Expenses																		
4.01.01.02.02	Materiais de Enfermagem e Medicamentos	tNO		tYES	4.01.01.02		at_Expenses																		
4.01.01.02.03	Equipamentos (Taxa de Utilização Diária)	tNO		tYES	4.01.01.02		at_Expenses																		
4.01.01.02.04	Exames	tNO		tYES	4.01.01.02		at_Expenses																		
4.01.01.02.05	Procedimentos especiais	tNO		tYES	4.01.01.02		at_Expenses																		
4.01.01.02.06	Transporte Medicamentos	tNO		tYES	4.01.01.02		at_Expenses																		
4.01.01.02.07	Perdas de estoques	tNO		tYES	4.01.01.02		at_Expenses																		
5.01	DESPESAS	tNO		tNO	500000000000000		at_Other																		
5.01.01	DESPESAS DE APOIO	tNO		tNO	5.01		at_Other																		
5.01.01.01	DESPESAS COM PROFISSIONAIS	tNO		tNO	5.01.01		at_Other																		
5.01.01.01.01	Remuneração, encargos e benefícios CLT	tNO		tYES	5.01.01.01		at_Expenses																		
5.01.01.01.02	Serviços Administrativos PJ	tNO		tYES	5.01.01.01		at_Expenses																		
5.01.01.01.03	Férias	tNO		tYES	5.01.01.01		at_Expenses																		
5.01.01.01.04	Serviços de Terceiros	tNO		tYES	5.01.01.01		at_Expenses																		
5.01.01.02	DESPESAS GERAIS	tNO		tNO	5.01.01		at_Other																		
5.01.01.02.01	Material de escritório	tNO		tYES	5.01.01.02		at_Expenses																		
5.01.01.02.02	Despesas Estruturais e Instalações	tNO		tYES	5.01.01.02		at_Expenses																		
5.01.01.02.03	Outros tributos	tNO		tYES	5.01.01.02		at_Expenses																		
5.01.01.02.04	Materiais de Consumo	tNO		tYES	5.01.01.02		at_Expenses																		
5.01.01.02.05	Utilidades e serviços	tNO		tYES	5.01.01.02		at_Expenses																		
5.01.01.02.06	Tarifas	tNO		tYES	5.01.01.02		at_Expenses																		
5.01.01.02.07	Outras despesas	tNO		tYES	5.01.01.02		at_Expenses																		
5.01.01.02.08	Eventos	tNO		tYES	5.01.01.02		at_Expenses																		
6.01	SALDOS INICIAIS	tNO	tYES	tNO	600000000000000		at_Other				tNO														
6.01.01	SALDOS INICIAIS	tNO	tYES	tNO	6.01		at_Other																		
6.01.01.01	SALDOS INICIAIS PARA IMPLEMENTAÇÃO	tNO	tYES	tNO	6.01.01		at_Other																		
6.01.01.01.01	Saldo Inicial de Estoque	tNO	tYES	tYES	6.01.01.01		at_Other																		
6.01.01.01.02	Saldo Inicial de Contas a Pagar	tNO	tYES	tYES	6.01.01.01		at_Other																		
6.01.01.01.03	Saldo Inicial de Contas a Receber	tNO	tYES	tYES	6.01.01.01		at_Other																		
6.01.01.01.04	Saldo Inicial de Balanço	tNO	tYES	tYES	6.01.01.01		at_Other																		
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
