CardCode	CardName	CardType	GroupCode	Phone1	Phone2	EmailAddress	CardForeignName
F00040	CASA DO CUIDAR PRATICA E CUIDADO	S	173			 faleconosco@casadocuidar.org.br	Casa do Cuidar 
F00041	CASA PROTECT VAREJISTAS DE DESCARTAVEIS LTDA	S	170			protect@hotmail.com.br	Casa Protect 
F00042	CATIA C F BALDESSARI LTDA	S	169			abertura@contabilizei.com.br	Catia Baldessari
F00043	CEPEL COMERCIO DE PAPEIS E EMBALAGENS LTDA	S	170			junior@cepel.com.br	Cepel
F00044	CIA DE SANEAMENTO BASICO DO SABESP	S	174				Sabesp
F00045	CINTIA MACIEL FERREIRA INSTITUTO DE PSICOLOGIA	S	175			cintiamaciel.psi@hotmail.com	Cintia Maciel 
F00046	CLARO S.A.	S	176			atendimento.fiscalizacoes@claro.com.br	Claro
F00047	CLAUDIA INHAIA SERVICOS MEDICOS SS	S	169			contato@contabilleonardis.com.br	Claudia Inhaia
F00048	CM HOSPITALAR S.A.	S	170			fiscal@mafrahospitalar.com.br	CM Hospitalar 
F00049	CMW SAUDE & TECNOLOGIA IMP E EXP LTDA	S	170			societario@solucont.com.br	
F00050	COMERCIAL CIRURGICA RIOCLARENSE LTDA	S	170			lilian.ribeiro@rioclarense.com.br	
F00051	CUIDAR & SAUDE GEAD FONOAUDIOLOGIA LTDA	S	169			flavio@cuidaresaude.com.br	Cuidar e Saude 
F00052	CUIDAR E SAUDE ATENDIMENTO INTEGRADO LTDA	S	169			flavio@cuidaresaude.com.br	Cuidar e Saude 
F00053	DAMARIS CRISTINA SILVA FREITAS ENFERMAGEM LTDA	S	169			elisangela.pifer@gmail.com	Damaris Cristina Freitas
F00054	DEBORA GENEZINI PJ	S	169				Debora Genezini
F00055	DROGARIA NOSSA SAUDE LTDA	S	170			carlos@informarcontabil.com.br	Drogaria Nossa Saude 
F00056	DS TORRES TECNOLOGIA	S	169			danieltorres7@gmail.com	Daniel Torres
F00057	DUOCAPE ATENDIMENTO MEDICO LTDA	S	169			silveira@sahcontabil.com.br	Cecilia Eugenio 
F00058	DUPATRI HOSP COM IMP E EXPORTACAO LTDA.	S	170			fiscal.medicamentos@grupoelfa.com.br	Dupatri
F00059	ELETROPAULO  DE SAO PAULO S.A.	S	177			enel@enel.com	Eletropaulo
F00060	ELFA MEDICAMENTOS S.A.	S	170			fiscal.medicamentos@grupoelfa.com.br	
F00061	ELO NUTRICAO LTDA	S	170			patricia.fan@elonutricao.com.br	
F00062	EMPORIO MEDICO  HOSPITALARES LTDA	S	170			gilmar.rocha@grupoemporio.com.br	
F00063	EXPRESSMEDICAL COMERCIO  VAREJISTA  MEDICOS LTDA	S	170			vanessa@aboimcontabilidade.com.br	
F00064	FABIO SHINITI IKEDA SERVICOS ADMINISTRATIVOS LTDA	S	169			meucnpj@contabilizei.com.br	Fabio Ikeda
F00065	FLEURY S.A.	S	178				Fleury
F00066	FUNDO DE INVEST DIREITOS CRED NAO INVISTA CF	S	179			administracao.fundos@socopa.com.br	Fundo de Investimentos
F00067	GAVIMAX UTILIZADES DOMESTICAS LTDA	S	170			GAVIMAX@GAVIMAX.COM.BR	Gavimax 
F00068	GIRASSOL SERVICOS MEDICOS LTDA	S	169				
F00069	GLEICE CRISTINA DA SILVA CAMPOS MENEZES	S	169			gleicemenezes43@gmail.com	Gleice Menezes 
F00070	GLOBOMED COMERCIAL LTDA	S	170			leandro.teixeira@confirp.com	Globomed
F00071	GOOGLE CLOUD BRASIL COMP E SERV DE DADOS LTDA.	S	170			ednaldo@google.com	Google Cloud 
F00072	GRAF LABEL MARCACAO E FIXACAO LTDA	S	170				Graf Label
F00073	HDL LOGISTICA HOSPITALAR LTDA.	S	170			telmo@hdlhospitalar.com.br	
F00074	HELENICE ALVES TEIXEIRA	S	175			helenice.ateixeira@gmail.com	Helenice Teixeira 
F00075	HELOISA SILVA VILELA	S	169			lovilela@hotmail.com	Heloisa Vilela 
F00076	HOSPFAR  PRODUTOS HOSPITALARES S.A.	S	170			fiscal@hospfar.com.br	Hospfar
F00077	HOSPHARMA MEDICAMENTOS	S	170				Hospharma
F00079	HUB EVOLUTIO CONSULTORIA E DESENVOLVIMENTO LTDA	S	180			legal@contmed.com.br	Hub Evolutio
F00080	IBR SERVICOS MEDICOS LTDA	S	169			contato@sejamedeasy.com.br	Isabella Bordim
F00081	IMPACTO PRODUTOS MEDICOS E HOSPITALARES LTDA	S	170			esc.atlantida@uol.com.br	
F00082	INTEGRALIFE SERVICOS MEDICOS LTDA	S	169			brunanvargas@hotmail.com	Bruna Vargas 
F00083	JULIA BOLSSEMAM RULLI	S	169				Julia Bosselmann
F00084	KALUNGA COMERCIO E INDUSTRIA GRAFICA LTDA	S	170			fabianapaula@kalunga.com.br	Kalunga 
F00085	KAREN CRISTINA MARTINS FALKEMBACK 33669097813	S	169			karenc.martins@yahoo.com.br	Karen Cristina Falkemback
F00086	KEEPCARE EQUIPAMENTOS E PRODUTOS MEDICOS LTDA	S	181			administrativo@keepcaresaude.com.br	Keep Care
F00087	LOCASET LOCADORA DE APARELHOS LTDA	S	182				Locaset
F00088	LUCIA FERREIRA BARBANTI 09307075832	S	169			contato@contabion.com.br	Lucia Barbanti
F00089	LUMIAR EQUIPAMENTOS HOSPITALARES LTDA	S	181			fiscal.sede@lumiarsaude.com.br	Lumiar 
F00090	MARCELO URSINI DE CARVALHO 13505647888	S	175			ursinimarcelo@gmail.com	Marcelo Ursini
F00091	MASTER COPIADORA LTDA	S	184				Master Copiadora 
F00092	MED PRONTO LTDA	S	170			medpronto@hotmail.com	Med Pronto
F00093	MEDICAMENTAL HOSPITALAR LTDA	S	170			thiago.morgado@medicamental.com.br	Medicamental Hospitalar 
F00094	MICHELE BUENO DE OLIVEIRA 28569638892	S	169			mickabueno@hotmail.com	Michele Bueno
F00095	MINOWA & VALLE SERVICOS MEDICOS LTDA	S	169			ERIKAFSM@TERRA.COM.BR	
F00096	MOLNLYCKE HEALTH CARE VENDA DE PRO MED LTDA	S	170			rafael.machado@molnlycke.com	
F00097	MONICA MANNA MEDICA	S	169				Monica Manna 
F00098	NACIONAL COMERCIAL HOSPITALAR S.A.	S	170			bruno.grabert@atrialsaude.com	
F00099	NAIR DA CONCEICAO BERNARDO	S	169			magoexpress@hotmail.com	
F00100	NALIN PASSARINI PREST DE SERV DE FISIOTERAPIA LTDA	S	175			junalin@hotmail.com	Nalin Passarini
F00101	NEWMED PRODUTOS PARA SAUDE LTDA	S	170				Newmed Produtos 
F00102	NURSECARE COM DE EQUIP MEDICO-HOSPITALARES LTDA	S	185			sycon@sycon.com.br	Nurse Care
F00103	NUTRIMENTO COMERCIO DE PROD NUTRICIONAIS LTDA	S	170			vera.staffer@uol.com.br	Nutrimento 
F00104	NUTRIPORT COMERCIAL LTDA.	S	170			helio.damasio@nutriport.com.br	Nutriport 
F00105	OGGI ATIVIDADES MEDICAS LTDA	S	169			oggiservicosmedicos@gmail.com	Marcia Pupim
F00106	OHARA OJEDA SERVICOS MEDICOS LTDA.	S	169			CONTATO@SEJAMEDEASY.COM.BR	Bruna Ohara 
F00107	OSTEO SOLUTION - COMERCIO, HOSPITALARES LTDA.	S	170			osteos@osteos.com.br	
F00109	PANPHARMA DISTRIBUIDORA DE MEDICAMENTOS LTDA	S	170			carlos.paulo@gruposc.com.br	Panpharma Distribuidora 
F00110	PAULA N. OTANI ENGENHARIA E INTERIORES LTDA	S	169			MEUCNPJ@CONTABILIZEI.COM.BR	Paula Otani
F00111	PETRA FONOAUDIOLOGIA LTDA	S	169			regis.aut@gmail.com	
F00112	PLASTINI SACOLAS LTDA	S	170			CONTATO@CONTABILIDADEASSIS.COM.BR	Plastini Sacolas
F00113	POLITEC IMPORTACAO E COMERCIO LIMITADA	S	186			politec@politec.net	Politec 
F00114	PORTO SEGURO COMPANHIA DE SEGUROS GERAIS	S	187			cadastros.societarios@portoseguro.com.br	Porto Seguro 
F00115	PRESTADORA DE SERVICOS MEDICOS QUERICHELLI LTDA	S	169			marcio.souto@grupomscontabilidade.com.br	
F00116	PROMED SANTA ANGELA COMERCIO E REMOCOES LTDA	S	171			promedsa@promedsa.com.br	Promed
F00117	RAFAEL BARROS SILVA	S	169			rbarrossilva12@gmail.com	Rafael Barros 
F00118	RAFAELA TONIN DESTRI NUTRICAO LTDA	S	175			meucnpj@contabilizei.com.br	Rafaela Tonin Destri
F00119	REABILITAR FISIOTERAPIA LTDA	S	175			mouraannacris@gmail.com	
F00120	ROBERTO ANTONIASSI JUNIOR	S	169			antoniassijr@hotmail.com	Roberto Antoniassi Junior 
F00121	ROCHA & ANDRADE SERVICOS MEDICOS SS	S	169			gestor.societario@rissicontabilidade.com.br	
F00122	RX CARE RADIOLOGIA LTDA	S	188			CONTATO@RXCARE.COM.BR	Rx Care
F00123	SALES DISTRIBUIDORA LTDA	S	189			samira.silva@cleaner.com.br	Sales Distribuidora 
F00124	SHEILA SUELI SOARES NEGRETTI	S	170			contasimetria@gmail.com	S3N
F00125	SIGLIANO SOCIEDADE DE ADVOGADOS	S	159			CADASTRO@GUIMARAESARANHA.COM.BR	Sigliano Advogados 
F00126	SIMPRO PUBLICACOES E TELEPROCESSAMENTO LTDA	S	190			denisonslegal@uol.com.br	Simpro 
F00127	SPS GESTAO EMPRESARIAL LTDA	S	165			flavio@pereti.com.br	
F00128	SR CONSULTORIA FINANCEIRA	S	169			sidneylopes1963@gmail.com	Regina Palomero
F00129	SUPERMED COM E IMPORT DE PROD MED E HOSP LTDA	S	170			contabil03@supermed.net.br	Supermed
F00130	SUPREVIDA FRANCHISING LTDA	S	170			sac@veritta.com.br	Suprevida 
F00131	SUPRI ARTIGOS MEDICO-HOSPITALARES LTDA	S	170			contato@supriartigosmedicos.com.br	
F00132	SUPRICORP SUPRIMENTOS LTDA	S	170			ebaltar@remaza.com.br	
F00133	TELEFONICA BRASIL S.A.	S	176			telefonica@telefonica.com	Telefonica 
F00134	TELEFONICA BRASIL S.A.	S	176			telefonica@telefonica.com	Telefonica
F00135	TENDA ATACADO SA	S	189			marta.ferreira@tendaatacado.com.br	Tenda 
F00136	TUDO PARA SAUDE  FARMACEUTICOS LTDA	S	170			leiliane@hnutri.com.br	
F00137	ULTRAMOBI DIAGNOSTICOS LTDA	S	188			contato@mobimagem.com	Ultramobi
F00138	UNIAR COMERCIO  E SERVICOS LTDA.	S	192			administrativo@georgiacontabil.com.br	Uniar 
F00139	VIA NOVA SERVICOS LTDA	S	154				Via Nova 
F00140	VINICIUS GUILHERME OLIVEIRA DE CARVALHO 	S	169			vinicius.olcr@gmail.com	Guilherme Oliveira 
